,Datetime,PV Leistung in kW
167,02.01. 17:45,0.0
168,02.01. 18:00,0.0
169,02.01. 18:15,0.0
170,02.01. 18:30,0.0
171,02.01. 18:45,0.0
172,02.01. 19:00,0.0
173,02.01. 19:15,0.0
174,02.01. 19:30,0.0
175,02.01. 19:45,0.0
176,02.01. 20:00,0.0
177,02.01. 20:15,0.0
178,02.01. 20:30,0.0
179,02.01. 20:45,0.0
180,02.01. 21:00,0.0
181,02.01. 21:15,0.0
182,02.01. 21:30,0.0
183,02.01. 21:45,0.0
184,02.01. 22:00,0.0
185,02.01. 22:15,0.0
186,02.01. 22:30,0.0
187,02.01. 22:45,0.0
188,02.01. 23:00,0.0
189,02.01. 23:15,0.0
190,02.01. 23:30,0.0
191,02.01. 23:45,0.0
192,03.01. 00:00,0.0
193,03.01. 00:15,0.0
194,03.01. 00:30,0.0
195,03.01. 00:45,0.0
196,03.01. 01:00,0.0
197,03.01. 01:15,0.0
198,03.01. 01:30,0.0
199,03.01. 01:45,0.0
200,03.01. 02:00,0.0
201,03.01. 02:15,0.0
202,03.01. 02:30,0.0
203,03.01. 02:45,0.0
204,03.01. 03:00,0.0
205,03.01. 03:15,0.0
206,03.01. 03:30,0.0
207,03.01. 03:45,0.0
208,03.01. 04:00,0.0
209,03.01. 04:15,0.0
210,03.01. 04:30,0.0
211,03.01. 04:45,0.0
212,03.01. 05:00,0.0
213,03.01. 05:15,0.0
214,03.01. 05:30,0.0
215,03.01. 05:45,0.0
216,03.01. 06:00,0.0
217,03.01. 06:15,0.0
218,03.01. 06:30,0.0
219,03.01. 06:45,0.0
220,03.01. 07:00,0.0
221,03.01. 07:15,0.008550833333333325
222,03.01. 07:30,0.01710166666666665
223,03.01. 07:45,0.025652499999999974
224,03.01. 08:00,0.0342033333333333
225,03.01. 08:15,0.04535499999999998
226,03.01. 08:30,0.05650666666666665
227,03.01. 08:45,0.06765833333333332
228,03.01. 09:00,0.07881
229,03.01. 09:15,0.08313541666666666
230,03.01. 09:30,0.0874608333333333
231,03.01. 09:45,0.09178624999999994
232,03.01. 10:00,0.0961116666666666
233,03.01. 10:15,0.0990829166666666
234,03.01. 10:30,0.1020541666666666
235,03.01. 10:45,0.1050254166666666
236,03.01. 11:00,0.1079966666666666
237,03.01. 11:15,0.09839458333333327
238,03.01. 11:30,0.08879249999999994
239,03.01. 11:45,0.07919041666666662
240,03.01. 12:00,0.0695883333333333
241,03.01. 12:15,0.07410749999999997
242,03.01. 12:30,0.07862666666666665
243,03.01. 12:45,0.08314583333333334
244,03.01. 13:00,0.087665
245,03.01. 13:15,0.08845458333333334
246,03.01. 13:30,0.08924416666666665
247,03.01. 13:45,0.09003374999999997
248,03.01. 14:00,0.0908233333333333
249,03.01. 14:15,0.06819166666666662
250,03.01. 14:30,0.04555999999999995
251,03.01. 14:45,0.022928333333333273
252,03.01. 15:00,0.0002966666666666
253,03.01. 15:15,0.00022249999999995
254,03.01. 15:30,0.0001483333333333
255,03.01. 15:45,7.416666666665002e-05
256,03.01. 16:00,0.0
257,03.01. 16:15,0.0
258,03.01. 16:30,0.0
259,03.01. 16:45,0.0
260,03.01. 17:00,0.0
261,03.01. 17:15,0.0
262,03.01. 17:30,0.0
263,03.01. 17:45,0.0
264,03.01. 18:00,0.0
265,03.01. 18:15,0.0
266,03.01. 18:30,0.0
267,03.01. 18:45,0.0
268,03.01. 19:00,0.0
269,03.01. 19:15,0.0
270,03.01. 19:30,0.0
271,03.01. 19:45,0.0
272,03.01. 20:00,0.0
273,03.01. 20:15,0.0
274,03.01. 20:30,0.0
275,03.01. 20:45,0.0
276,03.01. 21:00,0.0
277,03.01. 21:15,0.0
278,03.01. 21:30,0.0
279,03.01. 21:45,0.0
280,03.01. 22:00,0.0
281,03.01. 22:15,0.0
