Datum_Zeit;Wochentag;Fahrplan;Bus_1_kWh_15min;Bus_2_kWh_15min;Bus_3_kWh_15min;Bus_4_kWh_15min;Bus_5_kWh_15min;Bus_6_kWh_15min;Bus_7_kWh_15min;Bus_8_kWh_15min;Bus_9_kWh_15min;Bus_10_kWh_15min;Bus_11_kWh_15min;Bus_12_kWh_15min;Bus_13_kWh_15min;Bus_14_kWh_15min;Bus_15_kWh_15min;Bus_16_kWh_15min;Bus_17_kWh_15min;Bus_18_kWh_15min;Bus_19_kWh_15min
01.01.2024 11:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 11:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 12:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 12:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 12:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 12:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 13:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 13:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 13:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 13:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 14:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 14:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;0;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 14:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;0;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 14:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;0;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 15:00;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 15:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
01.01.2024 15:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;4,170636364;6,124106383;0;5,592522388;0;0;0;0;0;0;0;0;5,411177778;0
