,Datetime,PV Leistung in kW
218,03.01. 06:30,0
219,03.01. 06:45,0
220,03.01. 07:00,0
221,03.01. 07:15,0
222,03.01. 07:30,0
223,03.01. 07:45,0
224,03.01. 08:00,0.034203333333333336
225,03.01. 08:15,0.034203333333333336
226,03.01. 08:30,0.034203333333333336
227,03.01. 08:45,0.034203333333333336
228,03.01. 09:00,0.07881
229,03.01. 09:15,0.07881
230,03.01. 09:30,0.07881
231,03.01. 09:45,0.07881
232,03.01. 10:00,0.09611166666666666
233,03.01. 10:15,0.09611166666666666
234,03.01. 10:30,0.09611166666666666
235,03.01. 10:45,0.09611166666666666
236,03.01. 11:00,0.10799666666666667
237,03.01. 11:15,0.10799666666666667
238,03.01. 11:30,0.10799666666666667
239,03.01. 11:45,0.10799666666666667
240,03.01. 12:00,0.06958833333333334
241,03.01. 12:15,0.06958833333333334
242,03.01. 12:30,0.06958833333333334
243,03.01. 12:45,0.06958833333333334
244,03.01. 13:00,0.087665
245,03.01. 13:15,0.087665
246,03.01. 13:30,0.087665
247,03.01. 13:45,0.087665
248,03.01. 14:00,0.09082333333333335
249,03.01. 14:15,0.09082333333333335
250,03.01. 14:30,0.09082333333333335
251,03.01. 14:45,0.09082333333333335
252,03.01. 15:00,0.0002966666666666667
253,03.01. 15:15,0.0002966666666666667
254,03.01. 15:30,0.0002966666666666667
255,03.01. 15:45,0.0002966666666666667
256,03.01. 16:00,0
257,03.01. 16:15,0
258,03.01. 16:30,0
259,03.01. 16:45,0
260,03.01. 17:00,0
261,03.01. 17:15,0
262,03.01. 17:30,0
263,03.01. 17:45,0
264,03.01. 18:00,0
265,03.01. 18:15,0
266,03.01. 18:30,0
267,03.01. 18:45,0
268,03.01. 19:00,0
269,03.01. 19:15,0
270,03.01. 19:30,0
271,03.01. 19:45,0
272,03.01. 20:00,0
273,03.01. 20:15,0
274,03.01. 20:30,0
275,03.01. 20:45,0
276,03.01. 21:00,0
277,03.01. 21:15,0
278,03.01. 21:30,0
279,03.01. 21:45,0
280,03.01. 22:00,0
281,03.01. 22:15,0
282,03.01. 22:30,0
283,03.01. 22:45,0
284,03.01. 23:00,0
285,03.01. 23:15,0
286,03.01. 23:30,0
287,03.01. 23:45,0
288,04.01. 00:00,0
289,04.01. 00:15,0
290,04.01. 00:30,0
291,04.01. 00:45,0
292,04.01. 01:00,0
293,04.01. 01:15,0
294,04.01. 01:30,0
295,04.01. 01:45,0
296,04.01. 02:00,0
297,04.01. 02:15,0
298,04.01. 02:30,0
299,04.01. 02:45,0
300,04.01. 03:00,0
301,04.01. 03:15,0
302,04.01. 03:30,0
303,04.01. 03:45,0
304,04.01. 04:00,0
305,04.01. 04:15,0
306,04.01. 04:30,0
307,04.01. 04:45,0
308,04.01. 05:00,0
309,04.01. 05:15,0
310,04.01. 05:30,0
311,04.01. 05:45,0
312,04.01. 06:00,0
313,04.01. 06:15,0
314,04.01. 06:30,0
315,04.01. 06:45,0
316,04.01. 07:00,0
317,04.01. 07:15,0
318,04.01. 07:30,0
319,04.01. 07:45,0
320,04.01. 08:00,0.035853333333333334
321,04.01. 08:15,0.035853333333333334
322,04.01. 08:30,0.035853333333333334
323,04.01. 08:45,0.035853333333333334
324,04.01. 09:00,0.088075
325,04.01. 09:15,0.088075
326,04.01. 09:30,0.088075
327,04.01. 09:45,0.088075
328,04.01. 10:00,0.16659833333333332
329,04.01. 10:15,0.16659833333333332
330,04.01. 10:30,0.16659833333333332
331,04.01. 10:45,0.16659833333333332
332,04.01. 11:00,0.15138166666666666
333,04.01. 11:15,0.15138166666666666
334,04.01. 11:30,0.15138166666666666
335,04.01. 11:45,0.15138166666666666
336,04.01. 12:00,0.14306
337,04.01. 12:15,0.14306
338,04.01. 12:30,0.14306
339,04.01. 12:45,0.14306
340,04.01. 13:00,0.11626833333333332
341,04.01. 13:15,0.11626833333333332
342,04.01. 13:30,0.11626833333333332
343,04.01. 13:45,0.11626833333333332
344,04.01. 14:00,0.10842500000000001
345,04.01. 14:15,0.10842500000000001
346,04.01. 14:30,0.10842500000000001
347,04.01. 14:45,0.10842500000000001
348,04.01. 15:00,0.006121666666666667
349,04.01. 15:15,0.006121666666666667
350,04.01. 15:30,0.006121666666666667
351,04.01. 15:45,0.006121666666666667
352,04.01. 16:00,0
353,04.01. 16:15,0
354,04.01. 16:30,0
355,04.01. 16:45,0
356,04.01. 17:00,0
357,04.01. 17:15,0
358,04.01. 17:30,0
359,04.01. 17:45,0
360,04.01. 18:00,0
361,04.01. 18:15,0
362,04.01. 18:30,0
363,04.01. 18:45,0
364,04.01. 19:00,0
365,04.01. 19:15,0
366,04.01. 19:30,0
367,04.01. 19:45,0
368,04.01. 20:00,0
369,04.01. 20:15,0
370,04.01. 20:30,0
371,04.01. 20:45,0
372,04.01. 21:00,0
373,04.01. 21:15,0
374,04.01. 21:30,0
375,04.01. 21:45,0
376,04.01. 22:00,0
377,04.01. 22:15,0
378,04.01. 22:30,0
379,04.01. 22:45,0
380,04.01. 23:00,0
381,04.01. 23:15,0
382,04.01. 23:30,0
383,04.01. 23:45,0
384,05.01. 00:00,0
385,05.01. 00:15,0
386,05.01. 00:30,0
387,05.01. 00:45,0
388,05.01. 01:00,0
389,05.01. 01:15,0
390,05.01. 01:30,0
391,05.01. 01:45,0
392,05.01. 02:00,0
393,05.01. 02:15,0
394,05.01. 02:30,0
395,05.01. 02:45,0
396,05.01. 03:00,0
397,05.01. 03:15,0
398,05.01. 03:30,0
399,05.01. 03:45,0
400,05.01. 04:00,0
401,05.01. 04:15,0
402,05.01. 04:30,0
403,05.01. 04:45,0
404,05.01. 05:00,0
405,05.01. 05:15,0
406,05.01. 05:30,0
407,05.01. 05:45,0
408,05.01. 06:00,0
409,05.01. 06:15,0
410,05.01. 06:30,0
411,05.01. 06:45,0
412,05.01. 07:00,0
413,05.01. 07:15,0
414,05.01. 07:30,0
415,05.01. 07:45,0
416,05.01. 08:00,0.04352333333333333
417,05.01. 08:15,0.04352333333333333
418,05.01. 08:30,0.04352333333333333
419,05.01. 08:45,0.04352333333333333
420,05.01. 09:00,0.166275
421,05.01. 09:15,0.166275
422,05.01. 09:30,0.166275
423,05.01. 09:45,0.166275
424,05.01. 10:00,0.20635666666666666
425,05.01. 10:15,0.20635666666666666
426,05.01. 10:30,0.20635666666666666
427,05.01. 10:45,0.20635666666666666
428,05.01. 11:00,0.20293166666666665
429,05.01. 11:15,0.20293166666666665
430,05.01. 11:30,0.20293166666666665
431,05.01. 11:45,0.20293166666666665
432,05.01. 12:00,0.18718666666666664
433,05.01. 12:15,0.18718666666666664
434,05.01. 12:30,0.18718666666666664
435,05.01. 12:45,0.18718666666666664
436,05.01. 13:00,0.20783666666666667
437,05.01. 13:15,0.20783666666666667
438,05.01. 13:30,0.20783666666666667
439,05.01. 13:45,0.20783666666666667
440,05.01. 14:00,0.15759
441,05.01. 14:15,0.15759
442,05.01. 14:30,0.15759
443,05.01. 14:45,0.15759
444,05.01. 15:00,0.012073333333333333
445,05.01. 15:15,0.012073333333333333
446,05.01. 15:30,0.012073333333333333
447,05.01. 15:45,0.012073333333333333
448,05.01. 16:00,0
449,05.01. 16:15,0
450,05.01. 16:30,0
451,05.01. 16:45,0
452,05.01. 17:00,0
453,05.01. 17:15,0
454,05.01. 17:30,0
455,05.01. 17:45,0
456,05.01. 18:00,0
457,05.01. 18:15,0
458,05.01. 18:30,0
459,05.01. 18:45,0
460,05.01. 19:00,0
461,05.01. 19:15,0
462,05.01. 19:30,0
463,05.01. 19:45,0
464,05.01. 20:00,0
465,05.01. 20:15,0
466,05.01. 20:30,0
467,05.01. 20:45,0
468,05.01. 21:00,0
469,05.01. 21:15,0
470,05.01. 21:30,0
471,05.01. 21:45,0
472,05.01. 22:00,0
473,05.01. 22:15,0
474,05.01. 22:30,0
475,05.01. 22:45,0
476,05.01. 23:00,0
477,05.01. 23:15,0
478,05.01. 23:30,0
479,05.01. 23:45,0
480,06.01. 00:00,0
481,06.01. 00:15,0
482,06.01. 00:30,0
483,06.01. 00:45,0
484,06.01. 01:00,0
485,06.01. 01:15,0
486,06.01. 01:30,0
487,06.01. 01:45,0
488,06.01. 02:00,0
489,06.01. 02:15,0
490,06.01. 02:30,0
491,06.01. 02:45,0
492,06.01. 03:00,0
493,06.01. 03:15,0
494,06.01. 03:30,0
495,06.01. 03:45,0
496,06.01. 04:00,0
497,06.01. 04:15,0
498,06.01. 04:30,0
499,06.01. 04:45,0
500,06.01. 05:00,0
