,Datetime,PV Leistung in kW
195,03.01. 00:45,0.0
196,03.01. 01:00,0.0
197,03.01. 01:15,0.0
198,03.01. 01:30,0.0
199,03.01. 01:45,0.0
200,03.01. 02:00,0.0
201,03.01. 02:15,0.0
202,03.01. 02:30,0.0
203,03.01. 02:45,0.0
204,03.01. 03:00,0.0
205,03.01. 03:15,0.0
206,03.01. 03:30,0.0
207,03.01. 03:45,0.0
208,03.01. 04:00,0.0
209,03.01. 04:15,0.0
210,03.01. 04:30,0.0
211,03.01. 04:45,0.0
212,03.01. 05:00,0.0
213,03.01. 05:15,0.0
214,03.01. 05:30,0.0
215,03.01. 05:45,0.0
216,03.01. 06:00,0.0
217,03.01. 06:15,0.0
218,03.01. 06:30,0.0
219,03.01. 06:45,0.0
220,03.01. 07:00,0.0
221,03.01. 07:15,0.005005
222,03.01. 07:30,0.01001
223,03.01. 07:45,0.015015
224,03.01. 08:00,0.02002
225,03.01. 08:15,0.02904291666666665
226,03.01. 08:30,0.0380658333333333
227,03.01. 08:45,0.04708874999999996
228,03.01. 09:00,0.0561116666666666
229,03.01. 09:15,0.06057249999999995
230,03.01. 09:30,0.0650333333333333
231,03.01. 09:45,0.06949416666666666
232,03.01. 10:00,0.073955
233,03.01. 10:15,0.07568041666666665
234,03.01. 10:30,0.07740583333333331
235,03.01. 10:45,0.07913124999999996
236,03.01. 11:00,0.0808566666666666
237,03.01. 11:15,0.07688208333333328
238,03.01. 11:30,0.07290749999999996
239,03.01. 11:45,0.06893291666666662
240,03.01. 12:00,0.0649583333333333
241,03.01. 12:15,0.06211791666666662
242,03.01. 12:30,0.05927749999999995
243,03.01. 12:45,0.05643708333333328
244,03.01. 13:00,0.0535966666666666
245,03.01. 13:15,0.0458979166666666
246,03.01. 13:30,0.0381991666666666
247,03.01. 13:45,0.0305004166666666
248,03.01. 14:00,0.0228016666666666
249,03.01. 14:15,0.017181249999999926
250,03.01. 14:30,0.01156083333333325
251,03.01. 14:45,0.0059404166666665766
252,03.01. 15:00,0.0003199999999999
253,03.01. 15:15,0.000239999999999925
254,03.01. 15:30,0.00015999999999995
255,03.01. 15:45,7.9999999999975e-05
256,03.01. 16:00,0.0
257,03.01. 16:15,0.0
258,03.01. 16:30,0.0
259,03.01. 16:45,0.0
260,03.01. 17:00,0.0
261,03.01. 17:15,0.0
262,03.01. 17:30,0.0
263,03.01. 17:45,0.0
264,03.01. 18:00,0.0
265,03.01. 18:15,0.0
266,03.01. 18:30,0.0
267,03.01. 18:45,0.0
268,03.01. 19:00,0.0
269,03.01. 19:15,0.0
270,03.01. 19:30,0.0
271,03.01. 19:45,0.0
272,03.01. 20:00,0.0
273,03.01. 20:15,0.0
274,03.01. 20:30,0.0
275,03.01. 20:45,0.0
276,03.01. 21:00,0.0
277,03.01. 21:15,0.0
278,03.01. 21:30,0.0
279,03.01. 21:45,0.0
280,03.01. 22:00,0.0
281,03.01. 22:15,0.0
282,03.01. 22:30,0.0
283,03.01. 22:45,0.0
284,03.01. 23:00,0.0
285,03.01. 23:15,0.0
286,03.01. 23:30,0.0
287,03.01. 23:45,0.0
288,04.01. 00:00,0.0
289,04.01. 00:15,0.0
290,04.01. 00:30,0.0
291,04.01. 00:45,0.0
292,04.01. 01:00,0.0
293,04.01. 01:15,0.0
294,04.01. 01:30,0.0
295,04.01. 01:45,0.0
296,04.01. 02:00,0.0
297,04.01. 02:15,0.0
298,04.01. 02:30,0.0
299,04.01. 02:45,0.0
300,04.01. 03:00,0.0
301,04.01. 03:15,0.0
302,04.01. 03:30,0.0
303,04.01. 03:45,0.0
304,04.01. 04:00,0.0
305,04.01. 04:15,0.0
306,04.01. 04:30,0.0
307,04.01. 04:45,0.0
308,04.01. 05:00,0.0
309,04.01. 05:15,0.0
310,04.01. 05:30,0.0
311,04.01. 05:45,0.0
312,04.01. 06:00,0.0
313,04.01. 06:15,0.0
314,04.01. 06:30,0.0
315,04.01. 06:45,0.0
316,04.01. 07:00,0.0
317,04.01. 07:15,0.00510541666666665
318,04.01. 07:30,0.0102108333333333
319,04.01. 07:45,0.015316249999999948
320,04.01. 08:00,0.0204216666666666
321,04.01. 08:15,0.029550833333333273
322,04.01. 08:30,0.03867999999999995
323,04.01. 08:45,0.047809166666666625
324,04.01. 09:00,0.0569383333333333
325,04.01. 09:15,0.06766499999999998
326,04.01. 09:30,0.07839166666666665
327,04.01. 09:45,0.08911833333333333
328,04.01. 10:00,0.099845
329,04.01. 10:15,0.09725
330,04.01. 10:30,0.094655
331,04.01. 10:45,0.09206
332,04.01. 11:00,0.089465
333,04.01. 11:15,0.08723791666666665
334,04.01. 11:30,0.0850108333333333
335,04.01. 11:45,0.08278374999999995
336,04.01. 12:00,0.0805566666666666
337,04.01. 12:15,0.07204041666666659
338,04.01. 12:30,0.0635241666666666
339,04.01. 12:45,0.0550079166666666
340,04.01. 13:00,0.0464916666666666
341,04.01. 13:15,0.04401249999999993
342,04.01. 13:30,0.04153333333333325
343,04.01. 13:45,0.03905416666666657
344,04.01. 14:00,0.0365749999999999
345,04.01. 14:15,0.027704583333333248
346,04.01. 14:30,0.0188341666666666
347,04.01. 14:45,0.009963749999999952
348,04.01. 15:00,0.0010933333333333
349,04.01. 15:15,0.0008199999999999749
350,04.01. 15:30,0.00054666666666665
351,04.01. 15:45,0.000273333333333325
352,04.01. 16:00,0.0
353,04.01. 16:15,0.0
354,04.01. 16:30,0.0
355,04.01. 16:45,0.0
356,04.01. 17:00,0.0
357,04.01. 17:15,0.0
358,04.01. 17:30,0.0
359,04.01. 17:45,0.0
360,04.01. 18:00,0.0
361,04.01. 18:15,0.0
362,04.01. 18:30,0.0
363,04.01. 18:45,0.0
364,04.01. 19:00,0.0
365,04.01. 19:15,0.0
366,04.01. 19:30,0.0
367,04.01. 19:45,0.0
368,04.01. 20:00,0.0
369,04.01. 20:15,0.0
370,04.01. 20:30,0.0
371,04.01. 20:45,0.0
372,04.01. 21:00,0.0
373,04.01. 21:15,0.0
374,04.01. 21:30,0.0
375,04.01. 21:45,0.0
376,04.01. 22:00,0.0
377,04.01. 22:15,0.0
378,04.01. 22:30,0.0
379,04.01. 22:45,0.0
380,04.01. 23:00,0.0
381,04.01. 23:15,0.0
382,04.01. 23:30,0.0
383,04.01. 23:45,0.0
384,05.01. 00:00,0.0
385,05.01. 00:15,0.0
386,05.01. 00:30,0.0
387,05.01. 00:45,0.0
388,05.01. 01:00,0.0
389,05.01. 01:15,0.0
390,05.01. 01:30,0.0
391,05.01. 01:45,0.0
392,05.01. 02:00,0.0
393,05.01. 02:15,0.0
394,05.01. 02:30,0.0
395,05.01. 02:45,0.0
396,05.01. 03:00,0.0
397,05.01. 03:15,0.0
398,05.01. 03:30,0.0
399,05.01. 03:45,0.0
400,05.01. 04:00,0.0
401,05.01. 04:15,0.0
402,05.01. 04:30,0.0
403,05.01. 04:45,0.0
404,05.01. 05:00,0.0
405,05.01. 05:15,0.0
406,05.01. 05:30,0.0
407,05.01. 05:45,0.0
408,05.01. 06:00,0.0
409,05.01. 06:15,0.0
