,Datetime,PV Leistung in kW
165,02.01. 17:15,0.0
166,02.01. 17:30,0.0
167,02.01. 17:45,0.0
168,02.01. 18:00,0.0
169,02.01. 18:15,0.0
170,02.01. 18:30,0.0
171,02.01. 18:45,0.0
172,02.01. 19:00,0.0
173,02.01. 19:15,0.0
174,02.01. 19:30,0.0
175,02.01. 19:45,0.0
176,02.01. 20:00,0.0
177,02.01. 20:15,0.0
178,02.01. 20:30,0.0
179,02.01. 20:45,0.0
180,02.01. 21:00,0.0
181,02.01. 21:15,0.0
182,02.01. 21:30,0.0
183,02.01. 21:45,0.0
184,02.01. 22:00,0.0
185,02.01. 22:15,0.0
186,02.01. 22:30,0.0
187,02.01. 22:45,0.0
188,02.01. 23:00,0.0
189,02.01. 23:15,0.0
190,02.01. 23:30,0.0
191,02.01. 23:45,0.0
192,03.01. 00:00,0.0
193,03.01. 00:15,0.0
194,03.01. 00:30,0.0
195,03.01. 00:45,0.0
196,03.01. 01:00,0.0
197,03.01. 01:15,0.0
198,03.01. 01:30,0.0
199,03.01. 01:45,0.0
200,03.01. 02:00,0.0
201,03.01. 02:15,0.0
202,03.01. 02:30,0.0
203,03.01. 02:45,0.0
204,03.01. 03:00,0.0
205,03.01. 03:15,0.0
206,03.01. 03:30,0.0
207,03.01. 03:45,0.0
208,03.01. 04:00,0.0
209,03.01. 04:15,0.0
210,03.01. 04:30,0.0
211,03.01. 04:45,0.0
212,03.01. 05:00,0.0
213,03.01. 05:15,0.0
214,03.01. 05:30,0.0
215,03.01. 05:45,0.0
216,03.01. 06:00,0.0
217,03.01. 06:15,0.0
218,03.01. 06:30,0.0
219,03.01. 06:45,0.0
220,03.01. 07:00,0.0
221,03.01. 07:15,0.00147125
222,03.01. 07:30,0.0029425
223,03.01. 07:45,0.004413749999999999
224,03.01. 08:00,0.005885
225,03.01. 08:15,0.012802083333333325
226,03.01. 08:30,0.01971916666666665
227,03.01. 08:45,0.02663624999999998
228,03.01. 09:00,0.0335533333333333
229,03.01. 09:15,0.04059291666666663
230,03.01. 09:30,0.04763249999999995
231,03.01. 09:45,0.054672083333333274
232,03.01. 10:00,0.0617116666666666
233,03.01. 10:15,0.0655391666666666
234,03.01. 10:30,0.0693666666666666
235,03.01. 10:45,0.0731941666666666
236,03.01. 11:00,0.0770216666666666
237,03.01. 11:15,0.0742916666666666
238,03.01. 11:30,0.0715616666666666
239,03.01. 11:45,0.0688316666666666
240,03.01. 12:00,0.0661016666666666
241,03.01. 12:15,0.06624708333333328
242,03.01. 12:30,0.06639249999999995
243,03.01. 12:45,0.06653791666666663
244,03.01. 13:00,0.0666833333333333
245,03.01. 13:15,0.0638033333333333
246,03.01. 13:30,0.0609233333333333
247,03.01. 13:45,0.0580433333333333
248,03.01. 14:00,0.0551633333333333
249,03.01. 14:15,0.04145541666666663
250,03.01. 14:30,0.02774749999999995
251,03.01. 14:45,0.014039583333333272
252,03.01. 15:00,0.0003316666666666
253,03.01. 15:15,0.00024874999999995
254,03.01. 15:30,0.0001658333333333
255,03.01. 15:45,8.291666666664999e-05
256,03.01. 16:00,0.0
257,03.01. 16:15,0.0
258,03.01. 16:30,0.0
259,03.01. 16:45,0.0
260,03.01. 17:00,0.0
261,03.01. 17:15,0.0
262,03.01. 17:30,0.0
263,03.01. 17:45,0.0
264,03.01. 18:00,0.0
265,03.01. 18:15,0.0
266,03.01. 18:30,0.0
267,03.01. 18:45,0.0
268,03.01. 19:00,0.0
269,03.01. 19:15,0.0
270,03.01. 19:30,0.0
271,03.01. 19:45,0.0
272,03.01. 20:00,0.0
273,03.01. 20:15,0.0
274,03.01. 20:30,0.0
275,03.01. 20:45,0.0
276,03.01. 21:00,0.0
277,03.01. 21:15,0.0
278,03.01. 21:30,0.0
279,03.01. 21:45,0.0
280,03.01. 22:00,0.0
281,03.01. 22:15,0.0
282,03.01. 22:30,0.0
283,03.01. 22:45,0.0
284,03.01. 23:00,0.0
285,03.01. 23:15,0.0
286,03.01. 23:30,0.0
287,03.01. 23:45,0.0
288,04.01. 00:00,0.0
289,04.01. 00:15,0.0
290,04.01. 00:30,0.0
291,04.01. 00:45,0.0
292,04.01. 01:00,0.0
293,04.01. 01:15,0.0
294,04.01. 01:30,0.0
295,04.01. 01:45,0.0
296,04.01. 02:00,0.0
297,04.01. 02:15,0.0
298,04.01. 02:30,0.0
299,04.01. 02:45,0.0
300,04.01. 03:00,0.0
301,04.01. 03:15,0.0
302,04.01. 03:30,0.0
303,04.01. 03:45,0.0
304,04.01. 04:00,0.0
305,04.01. 04:15,0.0
306,04.01. 04:30,0.0
307,04.01. 04:45,0.0
308,04.01. 05:00,0.0
309,04.01. 05:15,0.0
310,04.01. 05:30,0.0
311,04.01. 05:45,0.0
312,04.01. 06:00,0.0
313,04.01. 06:15,0.0
314,04.01. 06:30,0.0
315,04.01. 06:45,0.0
316,04.01. 07:00,0.0
317,04.01. 07:15,0.00124166666666665
318,04.01. 07:30,0.0024833333333333
319,04.01. 07:45,0.00372499999999995
320,04.01. 08:00,0.0049666666666666
321,04.01. 08:15,0.01026874999999995
322,04.01. 08:30,0.0155708333333333
323,04.01. 08:45,0.02087291666666665
324,04.01. 09:00,0.026175
325,04.01. 09:15,0.03563208333333333
326,04.01. 09:30,0.04508916666666665
327,04.01. 09:45,0.05454624999999998
328,04.01. 10:00,0.0640033333333333
329,04.01. 10:15,0.0681808333333333
330,04.01. 10:30,0.0723583333333333
331,04.01. 10:45,0.0765358333333333
332,04.01. 11:00,0.0807133333333333
333,04.01. 11:15,0.0832358333333333
334,04.01. 11:30,0.0857583333333333
335,04.01. 11:45,0.08828083333333331
336,04.01. 12:00,0.0908033333333333
337,04.01. 12:15,0.08636791666666663
338,04.01. 12:30,0.08193249999999995
339,04.01. 12:45,0.07749708333333327
340,04.01. 13:00,0.0730616666666666
341,04.01. 13:15,0.07259083333333327
342,04.01. 13:30,0.07211999999999995
343,04.01. 13:45,0.07164916666666662
344,04.01. 14:00,0.0711783333333333
345,04.01. 14:15,0.054303749999999956
346,04.01. 14:30,0.037429166666666604
347,04.01. 14:45,0.02055458333333325
348,04.01. 15:00,0.0036799999999999
349,04.01. 15:15,0.002759999999999925
350,04.01. 15:30,0.00183999999999995
351,04.01. 15:45,0.0009199999999999751
352,04.01. 16:00,0.0
353,04.01. 16:15,0.0
354,04.01. 16:30,0.0
355,04.01. 16:45,0.0
356,04.01. 17:00,0.0
357,04.01. 17:15,0.0
358,04.01. 17:30,0.0
359,04.01. 17:45,0.0
360,04.01. 18:00,0.0
361,04.01. 18:15,0.0
362,04.01. 18:30,0.0
363,04.01. 18:45,0.0
364,04.01. 19:00,0.0
365,04.01. 19:15,0.0
366,04.01. 19:30,0.0
367,04.01. 19:45,0.0
368,04.01. 20:00,0.0
369,04.01. 20:15,0.0
370,04.01. 20:30,0.0
371,04.01. 20:45,0.0
372,04.01. 21:00,0.0
373,04.01. 21:15,0.0
374,04.01. 21:30,0.0
375,04.01. 21:45,0.0
376,04.01. 22:00,0.0
377,04.01. 22:15,0.0
378,04.01. 22:30,0.0
379,04.01. 22:45,0.0
380,04.01. 23:00,0.0
381,04.01. 23:15,0.0
382,04.01. 23:30,0.0
383,04.01. 23:45,0.0
384,05.01. 00:00,0.0
385,05.01. 00:15,0.0
386,05.01. 00:30,0.0
387,05.01. 00:45,0.0
388,05.01. 01:00,0.0
389,05.01. 01:15,0.0
390,05.01. 01:30,0.0
391,05.01. 01:45,0.0
392,05.01. 02:00,0.0
393,05.01. 02:15,0.0
394,05.01. 02:30,0.0
395,05.01. 02:45,0.0
396,05.01. 03:00,0.0
397,05.01. 03:15,0.0
398,05.01. 03:30,0.0
399,05.01. 03:45,0.0
400,05.01. 04:00,0.0
401,05.01. 04:15,0.0
402,05.01. 04:30,0.0
403,05.01. 04:45,0.0
404,05.01. 05:00,0.0
405,05.01. 05:15,0.0
406,05.01. 05:30,0.0
407,05.01. 05:45,0.0
408,05.01. 06:00,0.0
409,05.01. 06:15,0.0
410,05.01. 06:30,0.0
411,05.01. 06:45,0.0
412,05.01. 07:00,0.0
413,05.01. 07:15,0.001840833333333325
414,05.01. 07:30,0.00368166666666665
415,05.01. 07:45,0.005522499999999975
416,05.01. 08:00,0.0073633333333333
417,05.01. 08:15,0.013419999999999975
418,05.01. 08:30,0.01947666666666665
419,05.01. 08:45,0.025533333333333325
420,05.01. 09:00,0.03159
421,05.01. 09:15,0.0399875
422,05.01. 09:30,0.048385
423,05.01. 09:45,0.0567825
424,05.01. 10:00,0.06518
425,05.01. 10:15,0.0728925
426,05.01. 10:30,0.08060500000000001
427,05.01. 10:45,0.08831750000000001
428,05.01. 11:00,0.09603
429,05.01. 11:15,0.09899958333333334
430,05.01. 11:30,0.10196916666666665
431,05.01. 11:45,0.10493874999999997
432,05.01. 12:00,0.1079083333333333
433,05.01. 12:15,0.11057666666666663
434,05.01. 12:30,0.11324499999999996
435,05.01. 12:45,0.11591333333333327
436,05.01. 13:00,0.1185816666666666
437,05.01. 13:15,0.11098833333333327
438,05.01. 13:30,0.10339499999999996
439,05.01. 13:45,0.09580166666666663
440,05.01. 14:00,0.0882083333333333
441,05.01. 14:15,0.06793791666666663
442,05.01. 14:30,0.04766749999999995
443,05.01. 14:45,0.02739708333333328
444,05.01. 15:00,0.0071266666666666
445,05.01. 15:15,0.00534499999999995
446,05.01. 15:30,0.0035633333333333
447,05.01. 15:45,0.0017816666666666502
448,05.01. 16:00,0.0
449,05.01. 16:15,0.0
450,05.01. 16:30,0.0
451,05.01. 16:45,0.0
452,05.01. 17:00,0.0
453,05.01. 17:15,0.0
454,05.01. 17:30,0.0
455,05.01. 17:45,0.0
456,05.01. 18:00,0.0
457,05.01. 18:15,0.0
458,05.01. 18:30,0.0
459,05.01. 18:45,0.0
460,05.01. 19:00,0.0
461,05.01. 19:15,0.0
462,05.01. 19:30,0.0
463,05.01. 19:45,0.0
464,05.01. 20:00,0.0
465,05.01. 20:15,0.0
466,05.01. 20:30,0.0
467,05.01. 20:45,0.0
468,05.01. 21:00,0.0
469,05.01. 21:15,0.0
470,05.01. 21:30,0.0
471,05.01. 21:45,0.0
