snapshot,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19
Montag 09:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,0.0,0.0,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 09:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,4.273176470588235,6.176083333333334,0.0,0.0,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 10:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,0.0,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 10:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,0.0,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 10:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,0.0,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 10:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,0.0,6.71787037037037,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 11:00,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 11:15,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 11:30,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
Montag 11:45,6.51459649122807,6.048453125,5.7482033898305085,6.025830508474578,4.660169491525425,4.5153875,0.0,6.176083333333334,0.0,6.955240740740742,0.0,6.833372881355933,6.832491525423729,6.6127343750000005,6.614897058823529,6.579650793650794,6.122315789473685,5.924285714285714,3.162520833333333
