elektrische Last,Wärmelast
0.433394433,3.075630621
1.030247247,3.036576765
0.542903496,3.008365006
0.58444305,2.99539086
0.524573043,2.987550416
0.658664807,2.987402809
0.607273227,3.053126952
0.113535132,3.255432325
0.090420762,3.496874664
0.341978995,3.776418752
1.011301043,3.763460947
1.010401098,3.626746633
0.461103257,3.395655718
1.090306716,3.256367897
0.676900529,3.057357874
0.375324316,2.900552026
0.962561931,2.864204306
0.553039716,2.948906051
0.596189697,3.119113585
0.588327022,3.232600871
0.701009575,3.284906836
0.647912836,3.321976399
0.673348116,3.259106302
0.660843621,3.115611177
0.427947399,3.083310412
0.459587561,2.997375455
0.307260075,2.969163392
0.680074019,2.979710123
0.517610313,2.987550416
0.258568329,3.018763827
0.589321698,3.076647678
0.594626635,3.255432325
0.208266155,3.489033008
0.176294435,3.666653749
1.442942952,3.590974817
0.59827378,3.375856063
0.994628383,3.246688495
0.865415266,3.256367897
0.649949553,3.206325097
1.655329907,3.214163722
1.341675488,3.311101428
1.93274971,3.466367472
3.592721437,3.573850848
2.735926693,3.538370912
1.715531472,3.386830183
2.14243683,3.235733334
0.584727243,3.133661926
0.213476362,3.060835676
0.191593495,3.259156124
0.162795264,3.224498089
0.434531205,3.192989464
0.500511363,3.176718453
0.651796808,3.172174874
0.580890637,3.172027268
0.150574962,3.237751411
0.239195835,3.437858874
0.924195866,3.681499123
0.632329583,3.961043211
0.761447968,3.954679136
0.83339618,3.824558553
0.551855578,3.595665548
0.823544154,3.451981907
0.338284485,3.256268749
0.560760294,3.096166035
0.638202906,3.059818316
0.324264294,3.145619015
0.629819211,3.312529684
0.461529547,3.423819061
0.736249516,3.476125025
0.48587542,3.506600858
0.991312797,3.44373076
0.301434117,3.303532501
0.252837102,3.397221871
0.522678423,3.334753988
0.311617702,3.311192444
0.39891234,3.357496165
0.153274796,3.396590687
0.281303775,3.560982221
0.600689421,3.827109191
0.504016411,3.986916995
0.503495391,3.929327448
1.19380036,3.765272795
0.566538887,3.601152888
0.276756686,3.462240663
0.859210384,3.354394092
0.54835053,3.315930663
0.554602778,3.264789514
0.577717148,3.233428344
1.179353879,3.229540749
1.045404211,3.362381688
0.939684389,3.486793271
0.987760383,3.665202626
0.618309391,3.660282239
0.937126651,3.71852686
0.477918014,3.624442139
0.743070149,3.495635341
0.242558786,3.601627522
0.444620059,3.539159638
0.460961161,3.515598094
0.272730617,3.561901816
0.293903001,3.600996338
0.667758986,3.769783692
0.402322657,4.035910662
0.090468128,4.196817421
0.418900586,4.138128919
1.443937628,3.969678445
0.45622461,3.797865853
0.649475898,3.653458852
0.466502926,3.544513326
0.632661141,3.493961391
0.380581887,3.446117107
0.427568475,3.411459072
0.220533823,3.415264163
0.923438018,3.552500922
3.021919654,3.681308326
0.961188331,3.864113501
1.038157288,3.86468789
0.368408951,3.926229376
0.877872396,3.824451969
0.779399497,3.700040991
0.603910276,3.807132128
0.250705654,3.75235693
0.424821275,3.724399565
0.466739753,3.776198062
0.819707547,3.810896764
0.397254548,3.976387252
0.724313407,4.250206909
0.2980238,4.411113667
0.279503885,4.352425166
0.369072068,4.175183051
0.489048909,4.006667323
0.789867275,3.853468682
0.638629196,3.73463256
0.709156443,3.68298167
0.717161214,3.632939476
0.993965265,3.601578306
0.622761749,3.600987576
0.529025401,3.73492747
1.43631178,3.87582338
0.886966574,4.065222286
1.232924272,4.073489361
0.812365893,4.132832937
0.556118474,4.038748215
0.352446773,3.904446642
0.503826949,4.024725239
0.347426029,3.962257356
0.806397839,3.943091632
0.581269561,3.990494309
0.256105322,4.029588831
0.518368161,4.193980364
0.339989644,4.464503155
0.358367462,4.629805734
0.295087139,4.571117233
0.92500108,4.393875118
0.149059266,4.211072974
0.660654159,4.052379557
0.804313756,3.929147614
0.402038464,3.880793589
0.748754011,3.82965244
0.497716798,3.79389545
0.31881726,3.795502631
0.57051759,3.93273939
1.443842897,4.074734255
0.977576798,4.265232116
0.425294931,4.282290832
0.65335987,4.346030228
0.665011786,4.251945506
0.43543115,4.114347068
0.166679236,3.807132128
0.338331851,3.75235693
0.590979491,3.724399565
0.380676618,3.776198062
0.314459633,3.810896764
0.344820926,3.976387252
0.494543309,4.250206909
0.452766927,4.411113667
0.436141633,4.352425166
0.356709669,4.175183051
0.930400749,4.006667323
0.306881151,3.853468682
0.407959153,3.73463256
1.322208262,3.68298167
0.441493936,3.632939476
1.965195085,3.601578306
1.967610726,3.600987576
1.172296417,3.73492747
0.73662844,3.87582338
1.180822209,4.065222286
1.159034074,4.073489361
1.03877304,4.132832937
0.773005153,4.038748215
0.699920168,3.904446642
0.510789679,4.095448069
0.553939661,4.009513111
0.343731519,3.982400004
0.546124351,3.998441511
0.247295337,4.006281803
0.571370169,4.037495214
0.759127058,4.104170706
0.42666853,4.285153263
0.620061915,4.516556036
0.769121181,4.684286181
0.627356204,4.587727102
1.555767601,4.350629246
0.995670424,4.203878396
0.577764513,4.202568247
0.843579765,4.151426492
1.876147923,4.154869297
0.946931312,4.258400733
0.775468159,4.419161552
1.774264707,4.53763448
0.417479621,4.51644096
2.068688728,4.392374108
1.684933352,4.252266811
0.350457422,4.142502717
0.320332956,4.059785871
0.41411667,3.460264909
0.556876322,3.421211054
0.325732625,3.389702429
0.62929819,3.381124104
0.391381224,3.37328366
0.427852668,3.373136053
0.355999187,3.443256016
0.712993049,3.642264524
0.887392864,3.882607908
0.256863171,4.165448861
0.604573393,4.150293146
1.58712357,4.011380921
1.097316812,3.778092096
0.679884557,3.637705321
0.310812489,3.437596342
0.450256555,3.280790494
0.478723228,3.245541729
0.612436068,3.331342429
0.547355855,3.494956233
0.457977134,3.610641429
0.657764863,3.668442169
0.205045301,3.711006508
0.778167994,3.640443725
0.508610866,3.495849645
0.302476158,3.196113086
0.360309448,3.138041023
0.360688372,3.114479479
0.522536326,3.153090515
